DIVISION,DATE,TIME,FIXTURE,HOME TEAM,AWAY TEAM
EPL,8/8/15,12:45,Man Utd V Tottenham,Man Utd,Tottenham
EPL,8/8/15,15:00,Bournemouth V Aston Villa,Bournemouth,Aston Villa
EPL,8/8/15,15:00,Everton V Watford,Everton,Watford
EPL,8/8/15,15:00,Leicester V Sunderland,Leicester,Sunderland
EPL,8/8/15,15:00,Norwich V Crystal Palace,Norwich,Crystal Palace
EPL,8/8/15,15:00,Chelsea V Swansea,Chelsea,Swansea
EPL,8/9/15,13:30,Arsenal V West Ham,Arsenal,West Ham
EPL,8/9/15,13:30,Newcastle V Southampton,Newcastle,Southampton
EPL,8/9/15,16:00,Stoke V Liverpool,Stoke,Liverpool
EPL,8/10/15,20:00,West Brom V Man City,West Brom,Man City
EPL,8/14/15,19:45,Aston Villa V Man Utd,Aston Villa,Man Utd
EPL,8/15/15,12:45,Southampton V Everton,Southampton,Everton
EPL,8/15/15,15:00,Sunderland V Norwich,Sunderland,Norwich
EPL,8/15/15,15:00,Swansea V Newcastle,Swansea,Newcastle
EPL,8/15/15,15:00,Tottenham V Stoke,Tottenham,Stoke
EPL,8/15/15,15:00,Watford V West Brom,Watford,West Brom
EPL,8/15/15,15:00,West Ham V Leicester,West Ham,Leicester
EPL,8/16/15,13:30,Crystal Palace V Arsenal,Crystal Palace,Arsenal
EPL,8/16/15,16:00,Man City V Chelsea,Man City,Chelsea
EPL,8/17/15,20:00,Liverpool V Bournemouth,Liverpool,Bournemouth
EPL,8/22/15,12:45,Man Utd V Newcastle,Man Utd,Newcastle
EPL,8/22/15,15:00,Crystal Palace V Aston Villa,Crystal Palace,Aston Villa
EPL,8/22/15,15:00,Leicester V Tottenham,Leicester,Tottenham
EPL,8/22/15,15:00,Norwich V Stoke,Norwich,Stoke
EPL,8/22/15,15:00,Sunderland V Swansea,Sunderland,Swansea
EPL,8/22/15,15:00,West Ham V Bournemouth,West Ham,Bournemouth
EPL,8/23/15,13:30,West Brom V Chelsea,West Brom,Chelsea
EPL,8/23/15,16:00,Everton V Man City,Everton,Man City
EPL,8/23/15,16:00,Watford V Southampton,Watford,Southampton
EPL,8/24/15,20:00,Arsenal V Liverpool,Arsenal,Liverpool
EPL,8/29/15,12:45,Newcastle V Arsenal,Newcastle,Arsenal
EPL,8/29/15,15:00,Aston Villa V Sunderland,Aston Villa,Sunderland
EPL,8/29/15,15:00,Bournemouth V Leicester,Bournemouth,Leicester
EPL,8/29/15,15:00,Chelsea V Crystal Palace,Chelsea,Crystal Palace
EPL,8/29/15,15:00,Liverpool V West Ham,Liverpool,West Ham
EPL,8/29/15,15:00,Man City V Watford,Man City,Watford
EPL,8/29/15,15:00,Stoke V West Brom,Stoke,West Brom
EPL,8/29/15,17:30,Tottenham V Everton,Tottenham,Everton
EPL,8/30/15,13:30,Southampton V Norwich,Southampton,Norwich
EPL,8/30/15,16:00,Swansea V Man Utd,Swansea,Man Utd
EPL,12/09/2015,12:45,Everton V Chelsea ,Everton,Chelsea
EPL,12/09/2015,15:00,Arsenal V Stoke ,Arsenal,Stoke
EPL,12/09/2015,15:00,Crystal Palace V Man City ,Crystal Palace,Man City
EPL,12/09/2015,15:00,Norwich V Bournemouth ,Norwich,Bournemouth
EPL,12/09/2015,15:00,Watford V Swansea ,Watford,Swansea
EPL,12/09/2015,15:00,West Brom V Southampton ,West Brom,Southampton
EPL,12/09/2015,17:30,Man Utd V Liverpool ,Man Utd,Liverpool
EPL,13/09/2015,13:30,Sunderland V Tottenham ,Sunderland,Tottenham
EPL,13/09/2015,16:00,Leicester V Aston Villa ,Leicester,Aston Villa
EPL,14/09/2015,20:00,West Ham V Newcastle ,West Ham,Newcastle
EPL,19/09/2015,12:45,Chelsea V Arsenal ,Chelsea,Arsenal
EPL,19/09/2015,15:00,Aston Villa V West Brom ,Aston Villa,West Brom
EPL,19/09/2015,15:00,Bournemouth V Sunderland ,Bournemouth,Sunderland
EPL,19/09/2015,15:00,Newcastle V Watford ,Newcastle,Watford
EPL,19/09/2015,15:00,Stoke V Leicester ,Stoke,Leicester
EPL,19/09/2015,15:00,Swansea V Everton ,Swansea,Everton
EPL,19/09/2015,17:30,Man City V West Ham ,Man City,West Ham
EPL,20/09/2015,13:30,Tottenham V Crystal Palace ,Tottenham,Crystal Palace
EPL,20/09/2015,16:00,Liverpool V Norwich ,Liverpool,Norwich
EPL,20/09/2015,16:00,Southampton V Man Utd ,Southampton,Man Utd
EPL,26/09/2015,12:45,Tottenham V Man City ,Tottenham,Man City
EPL,26/09/2015,15:00,Leicester V Arsenal ,Leicester,Arsenal
EPL,26/09/2015,15:00,Liverpool V Aston Villa ,Liverpool,Aston Villa
